date,dexalus,dexcaus,dexjpus,dexnzus,dexukus
1986-07-16,1.5696123057604772,1.376,158.4,1.8761726078799248,0.6605019815059445
1986-07-17,1.5703517587939697,1.375,157.35,1.8726591760299625,0.6600660066006601
1986-07-18,1.5669069257286117,1.3753,156.45,1.8726591760299625,0.6646726487205051
1986-07-21,1.559332605644784,1.3762,155.05,1.8501387604070305,0.66711140760507
1986-07-22,1.569365976145637,1.3839,156.8,1.8501387604070305,0.6711409395973155
1986-07-23,1.596678907871627,1.3898,157.45,1.862891207153502,0.6702412868632708
1986-07-24,1.632386549134835,1.3885,156.7,1.885014137606032,0.6695681285570807
1986-07-25,1.6625103906899417,1.3872,157.7,1.9193857965451055,0.6745362563237775
1986-07-28,1.6380016380016378,1.388,155.95,1.8975332068311195,0.6754474839581223
1986-07-29,1.6412276382734285,1.3875,155.7,1.8903591682419658,0.6720430107526881
1986-07-30,1.63826998689384,1.3839,156.1,1.9305019305019304,0.671366230278617
1986-07-31,1.6781339150864238,1.3795,153.85,1.921229586935639,0.670465973851827
1986-08-01,1.6523463317911435,1.3807,153.85,1.9267822736030829,0.6734006734006733
1986-08-04,1.6627868307283005,1.382,154,1.9342359767891681,0.6802721088435374
1986-08-05,1.6233766233766234,1.38,154.95,1.9361084220716362,0.6734006734006733
1986-08-06,1.6129032258064517,1.3825,154.4,1.9256691700365878,0.676132521974307
1986-08-07,1.6377333770062232,1.3813,153.8,1.9286403085824495,0.6772773450728073
1986-08-08,1.6436554898093358,1.386,154.15,1.974333662388944,0.678886625933469
1986-08-11,1.6479894528675016,1.3858,153.77,2.0202020202020203,0.6730833950326446
1986-08-12,1.643925694558606,1.39,154.7,2.0181634712411705,0.6736274840013473
1986-08-13,1.6297262059973923,1.3885,154.3,1.9940179461615157,0.6729475100942126
1986-08-14,1.6095284081764043,1.3856,153.73,1.9940179461615157,0.6697923643670461
1986-08-15,1.604363869725654,1.3892,154.2,2.0202020202020203,0.6693440428380187
1986-08-18,1.5997440409534476,1.394,154.2,2.0060180541624875,0.6697923643670461
1986-08-19,1.5873015873015872,1.3945,153.5,1.9801980198019802,0.666000666000666
1986-08-20,1.6345210853220007,1.391,153.4,1.996007984031936,0.6648936170212766
1986-08-21,1.6353229762878168,1.39,153.25,2.059732234809475,0.6675121820973233
1986-08-22,1.6474464579901154,1.391,153.45,2.0512820512820515,0.6727211570803903
1986-08-25,1.6523463317911435,1.394,153.84,2.059732234809475,0.6766815536608473
1986-08-26,1.6477179106936892,1.3957,154.95,2.0408163265306123,0.6740815638692281
1986-08-27,1.6420361247947455,1.3965,154.68,2.0222446916076846,0.6738544474393531
1986-08-28,1.6433853738701725,1.3925,156.05,2.0202020202020203,0.6754474839581223
1986-08-29,1.6420361247947455,1.3881,154.55,2.055498458376156,0.6720430107526881
1986-09-01,,,,,
1986-09-02,1.6412276382734285,1.3862,154.25,2.0521239482864764,0.67150147730325
1986-09-03,1.6329196603527105,1.3867,154.7,2.0491803278688523,0.6668889629876625
1986-09-04,1.622849724115547,1.3879,154.9,2.0768431983385254,0.6648936170212766
1986-09-05,1.6231131309852298,1.3862,155.4,2.089864158829676,0.6688963210702341
1986-09-08,1.6246953696181965,1.385,156.15,2.089864158829676,0.6727211570803903
1986-09-09,1.631055292774425,1.3815,155.7,2.107481559536354,0.6738544474393531
1986-09-10,1.6460905349794237,1.3871,154.8,2.1299254526091587,0.6749915626054674
1986-09-11,1.6194331983805668,1.3885,156.4,2.1030494216614093,0.6805035726437564
1986-09-12,1.6139444803098772,1.3865,155.35,2.079002079002079,0.6775067750677507
1986-09-15,1.597444089456869,1.386,155.18,2.094240837696335,0.6753106428957321
1986-09-16,1.600768368817032,1.3874,156.35,2.097315436241611,0.6777363605557438
1986-09-17,1.604363869725654,1.3907,154.8,2.1030494216614093,0.6779661016949152
1986-09-18,1.5992323684631378,1.3865,153.65,2.109704641350211,0.6793478260869565
1986-09-19,1.5915963711602739,1.388,152,2.111932418162619,0.6777363605557438
1986-09-22,1.5857913098636218,1.387,153.6,2.107481559536354,0.6868131868131868
1986-09-23,1.58102766798419,1.3875,154.66,2.079002079002079,0.6902740387934009
1986-09-24,1.5860428231562254,1.388,154.57,2.081165452653486,0.6913238852402351
1986-09-25,1.5857913098636218,1.3896,154.55,2.0911752404851525,0.6971070059254095
1986-09-26,1.589319771137953,1.3888,154.35,2.066115702479339,0.6961364427427775
1986-09-29,1.5936254980079683,1.3884,153.65,2.034587995930824,0.6978367062107467
1986-09-30,1.5926102882624622,1.3888,154.35,2.0483408439164275,0.6911805363560962
1986-10-01,1.5852885225110969,1.388,154.15,2.0483408439164275,0.6925207756232687
1986-10-02,1.5847860538827259,1.388,153.92,1.9900497512437814,0.697350069735007
1986-10-03,1.5765410688948447,1.3865,154.17,1.9790223629527015,0.6932409012131716
1986-10-06,1.574555188159345,1.3855,154.06,1.976284584980237,0.6951685783802573
1986-10-07,1.5760441292356187,1.387,154.07,1.98294665873488,0.6983240223463687
1986-10-08,1.5710919088766695,1.3863,154.35,1.9940179461615157,0.7041261794113506
1986-10-09,1.5661707126076743,1.387,154.95,1.9569471624266144,0.7034822370735139
1986-10-10,1.5661707126076743,1.387,154.45,1.9588638589618024,0.6975933031042902
1986-10-13,,,,,
1986-10-14,1.5730690577316344,1.3887,153.97,1.9880715705765408,0.6958942240779401
1986-10-15,1.5603058199407083,1.3893,154.2,1.996007984031936,0.6946856547412296
1986-10-16,1.5625,1.3893,154.2,1.9940179461615157,0.6956521739130435
1986-10-17,1.5678896205707118,1.3903,154.23,2.0120724346076457,0.6985679357317499
1986-10-20,1.5698587127158556,1.3917,154.75,1.9940179461615157,0.6993985172751433
1986-10-21,1.5698587127158556,1.391,155.16,1.9980019980019983,0.6963788300835655
1986-10-22,1.5681354869060686,1.3904,155.8,1.976284584980237,0.6988120195667366
1986-10-23,1.5463120457708364,1.3887,158.13,1.974333662388944,0.702247191011236
1986-10-24,1.558846453624318,1.3881,161.35,1.968503937007874,0.7079646017699115
1986-10-27,1.5595757953836558,1.3878,160.7,1.9723865877712032,0.7109847138286527
1986-10-28,1.5549681231534753,1.3884,160.1,1.974333662388944,0.7064641469445426
1986-10-29,1.556420233463035,1.3886,160.5,1.976284584980237,0.7084661707403471
1986-10-30,1.558117793705204,1.3884,161.78,1.9782393669634029,0.7156659271452086
1986-10-31,1.560549313358302,1.3905,163.4,1.9723865877712032,0.7114905727499111
1986-11-03,1.5620118712902218,1.3913,164,1.9821605550049557,0.7085665698292355
1986-11-04,1.559332605644784,1.3905,163.92,1.9880715705765408,0.7068136839129205
1986-11-05,1.5556938394523956,1.3885,164.5,1.98294665873488,0.7027406886858749
1986-11-06,1.557389814670612,1.3876,163.3,1.9723865877712032,0.6988120195667366
1986-11-07,1.5532774153463809,1.3885,163.2,1.9538882375928095,0.7013606396409033
1986-11-10,1.547987616099071,1.3879,162.85,1.9342359767891681,0.6966699177929497
1986-11-11,,,,,
1986-11-12,1.550147263990079,1.3858,160.62,1.9305019305019304,0.7010164738871363
1986-11-13,1.5503875968992247,1.3844,160.9,1.9361084220716362,0.702000702000702
1986-11-14,1.549666821633349,1.3843,161.45,1.9361084220716362,0.699154023631406
1986-11-17,1.558846453624318,1.3852,162.82,1.9474196689386565,0.700280112044818
1986-11-18,1.5556938394523956,1.3832,162.8,1.9436345966958213,0.7029876977152899
1986-11-19,1.5525539512498059,1.3836,162.4,1.934984520123839,0.7052186177715092
1986-11-20,1.5537600994406464,1.3852,162.75,1.9286403085824495,0.7088679379031686
1986-11-21,1.552312946289972,1.387,164.05,1.9312475859405174,0.7027406886858749
1986-11-24,1.5499070055796653,1.3859,164.18,1.9323671497584543,0.7059654076950229
1986-11-25,1.5444015444015444,1.3858,162.55,1.923076923076923,0.7031359864997891
1986-11-26,1.5372790161414298,1.3853,162.95,1.920122887864823,0.6985679357317499
1986-11-27,,,,,
1986-11-28,1.5375153751537516,1.384,162.05,1.9577133907595927,0.6975933031042902
1986-12-01,1.5384615384615383,1.3825,162.25,2.008838891120932,0.6956521739130435
1986-12-02,1.5401201293700908,1.3828,162,2.0080321285140563,0.6972042111134352
1986-12-03,1.5349194167306217,1.3836,162.26,1.9704433497536948,0.6983240223463687
1986-12-04,1.529051987767584,1.3813,162.77,1.9755037534571316,0.6997900629811057
1986-12-05,1.5302218821729152,1.3792,162.42,1.9821605550049557,0.7000350017500875
1986-12-08,1.5313935681470137,1.3775,162.4,1.9940179461615157,0.7044734061289186
1986-12-09,1.5358623867301489,1.3775,162.6,2.010454362685967,0.7024938531787847
1986-12-10,1.532097441397273,1.3793,162.75,1.9880715705765408,0.7016559079427449
1986-12-11,1.5192950470981463,1.3809,162.7,1.974333662388944,0.7027406886858749
1986-12-12,1.5183723048891589,1.3785,163.05,1.9569471624266144,0.7006235549639179
1986-12-15,1.51285930408472,1.3795,163.25,1.937984496124031,0.6983240223463687
1986-12-16,1.5067048365225253,1.3793,163.95,1.9447685725398678,0.6995452955578874
1986-12-17,1.5048908954100828,1.379,163.65,1.9361084220716362,0.6993985172751433
1986-12-18,1.5048908954100828,1.3797,163,1.921229586935639,0.6989585517578807
1986-12-19,1.4938751120406335,1.3794,162.2,1.9175455417066156,0.6980802792321117
1986-12-22,1.481042654028436,1.378,162.75,1.8957345971563981,0.693721817551162
1986-12-23,1.5048908954100828,1.3776,162.7,1.9175455417066156,0.6884681583476765
1986-12-24,1.51285930408472,1.3784,161.45,1.9138755980861246,0.6856359273225917
1986-12-25,,,,,
1986-12-26,1.51285930408472,1.382,159.75,1.9138755980861246,0.6858710562414266
1986-12-29,1.5087507543753773,1.3816,159.05,1.9091256204658265,0.6810597289382279
1986-12-30,1.5064778547755349,1.3831,159.9,1.9076688286913392,0.6809669731018047
1986-12-31,1.5030813166992334,1.381,158.3,1.885014137606032,0.6745362563237775
1987-01-01,,,,,
1987-01-02,1.5019525382997898,1.3785,158.25,1.9029495718363465,0.6711409395973155
1987-01-05,1.4943215780035863,1.3758,159.4,1.8754688672168043,0.6789788158609451
1987-01-06,1.5055706112616682,1.3744,158.78,1.8681113394358304,0.6774149844194554
1987-01-07,1.5071590052750565,1.3718,158.05,1.8450184501845017,0.6800408024481469
1987-01-08,1.5003750937734435,1.3711,158.23,1.8477457501847745,0.6779661016949152
1987-01-09,1.4992503748125936,1.3702,158.2,1.8646280067126608,0.6765899864682002
1987-01-12,1.4992503748125936,1.3662,156.77,1.858736059479554,0.670331143584931
1987-01-13,1.5262515262515262,1.3661,155.75,1.9065776930409915,0.6710058377507885
1987-01-14,1.5527950310559007,1.3635,152.8,1.8779342723004695,0.6642311524410495
1987-01-15,1.538935056940597,1.363,153.55,1.9029495718363465,0.6648052120728627
1987-01-16,1.5335071308081583,1.3633,153.4,1.8867924528301885,0.6598482349059716
1987-01-19,,,,,
1987-01-20,1.5080681646810434,1.3589,152.68,1.8604651162790697,0.6578947368421053
1987-01-21,1.5112588786459122,1.357,153.95,1.8570102135561746,0.6591957811470007
1987-01-22,1.5167602002123464,1.3573,151.9,1.8611576400521124,0.6527415143603134
1987-01-23,1.5117157974300832,1.359,153.08,1.8577001671930151,0.6576783952647156
1987-01-26,1.509433962264151,1.3521,152.65,1.838235294117647,0.6548788474132285
1987-01-27,1.5112588786459122,1.3436,151.65,1.8552875695732838,0.6511688480823077
1987-01-28,1.5144631228229593,1.3382,151.75,1.8535681186283597,0.6510416666666666
1987-01-29,1.5119443604475356,1.342,152.1,1.8450184501845017,0.6507027589796981
1987-01-30,1.5110305228165608,1.339,153.65,1.8484288354898335,0.6605019815059445
1987-02-02,1.51285930408472,1.334,152.57,1.8467220683287167,0.6561249261859458
1987-02-03,1.5026296018031555,1.333,152.5,1.838235294117647,0.6546644844517184
1987-02-04,1.4940983116689077,1.326,152.8,1.832172957127153,0.6566850538481744
1987-02-05,1.4965579167913798,1.3315,153.63,1.8331805682859763,0.6600660066006601
1987-02-06,1.4940983116689077,1.3341,154.45,1.8315018315018314,0.6637902422834384
1987-02-09,1.5037593984962405,1.336,152.55,1.8406037180195103,0.6583278472679395
1987-02-10,1.4983518130056936,1.336,152.4,1.82882223847842,0.6514657980456027
1987-02-11,1.497005988023952,1.3438,153.7,1.8315018315018314,0.6565988181221274
1987-02-12,1.5001500150015001,1.3455,154.1,1.8433179723502304,0.6583278472679395
1987-02-13,1.5053439710973957,1.3425,153.7,1.838235294117647,0.6578947368421053
1987-02-16,,,,,
1987-02-17,1.5110305228165608,1.33,153.22,1.834189288334556,0.6533812479581836
1987-02-18,1.5003750937734435,1.3308,153.85,1.827485380116959,0.6530825496342738
1987-02-19,1.503307276007216,1.3325,154.13,1.8165304268846503,0.655307994757536
1987-02-20,1.5042117930204575,1.3303,153.65,1.8171906232963837,0.6543217954590067
1987-02-23,1.497454327643007,1.3324,153.68,1.8181818181818181,0.648508430609598
1987-02-24,1.4936519790888723,1.331,153.78,1.8083182640144664,0.6495615459564793
1987-02-25,1.483239394838327,1.3305,153.6,1.8034265103697025,0.6506180871828238
1987-02-26,1.483019427554501,1.3324,153.15,1.7914725904693658,0.6495615459564793
1987-02-27,1.4771048744460855,1.3332,153.27,1.784121320249777,0.6468305304010349
1987-03-02,1.467782181124321,1.3316,153.5,1.774622892635315,0.639467962655071
1987-03-03,1.4736221632773356,1.3327,153.65,1.784121320249777,0.641025641025641
1987-03-04,1.4701558365186709,1.3328,153.71,1.772421127259837,0.6393044367727911
1987-03-05,1.473187978786093,1.3342,153.2,1.7921146953405016,0.6337938902268981
1987-03-06,1.4760147601476015,1.333,153.47,1.7969451931716083,0.6293266205160478
1987-03-09,1.4716703458425313,1.3348,153.8,1.7739932588256164,0.6297229219143576
1987-03-10,1.463057790782736,1.3352,153.65,1.7636684303350971,0.6312334301224592
1987-03-11,1.4541224371092047,1.327,153.82,1.7559262510974538,0.6285355122564426
1987-03-12,1.4503263234227701,1.3211,153.63,1.7482517482517483,0.6295247088448221
1987-03-13,1.4760147601476015,1.3213,152.65,1.8018018018018016,0.6349206349206349
1987-03-16,1.4721036360959812,1.3165,151.65,1.7761989342806397,0.6317119393556538
